Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
resourcestrings;BreadcrumbBar_SCopyText;;;"Copy as text";"Copier en tant que texte";"Kopieer tekst";;"Copia come testo";"Copiar como texto";复制为文本;"Copiar como texto";"Als Text kopieren";
resourcestrings;BreadcrumbBar_SPathNotFoundCaption;;;"Path not found";"Chemin d'accès non trouvé";"Pad niet gevonden";;"Percorso non trovato";"Ruta no encontrada";路径未找到;"Caminho não encontrado";"Pfad nicht gefunden";
resourcestrings;BreadcrumbBar_SPathNotFoundText;;;"The path ""%s"" was not found.";"Le chemin ""%s"" n'a pas été trouvé.";"Het pad ""%s"" was niet gevonden.";;"Il percorso ""%s"" non è stato trovato.";"No se ha encontrado la ruta ""%s"".";"未找到 ""%s"" 路径。";"O caminho ""%s"" não foi encontrado.";"Der Pfad ""%s“ wurde nicht gefunden.";
resourcestrings;UnitLangResources_FileDateFromExif1;;;"This will set ""Date Created"" and ""Date modified"" of selected files";"Cette opération permet de définir la « date de création » et la « date de modification » des fichiers sélectionnés.";"Dit past ""Datum gemaakt""en ""Datum gewijzigd"" aan van alle geseleteerde bestanden";;"Questo imposta la “Data di creazione” e la “Data di modifica” dei file selezionati.";"Esto establecerá la «Fecha de creación» y la «Fecha de modificación» de los archivos seleccionados";"这将设置所选文件的 “创建日期 ”和 “修改日期”。";"Isso definirá a “Data de criação” e a “Data de modificação” dos arquivos selecionados";"Damit werden „Erstellungsdatum“ und „Änderungsdatum“ der ausgewählten Dateien festgelegt";
resourcestrings;UnitLangResources_FileDateFromExif2;;;"according to ""%s"" and ""%s"" values.";"selon les valeurs « %s » et « %s ».";"volgens “%s” en “%s” waarden.";;"in base ai valori “%s” e “%s”.";"según los valores «%s» y «%s».";"根據 「%s「 和 」%s」 值。";"de acordo com os valores “%s” e “%s”.";"entsprechend den Werten „%s“ und „%s“.";
resourcestrings;UnitLangResources_ImportMetaSel1;;;"This will copy ALL metadata from any source into";"Ceci copiera TOUTES les métadonnées de n'importe quelle source dans les fichiers";"Dit kopieert ALLE metadata van elke bron naar";;"Questo copierà TUTTI i metadati da qualsiasi fonte in";"Esto copiará TODOS los metadatos de cualquier fuente en";这会将任何来源的所有元数据复制到;"Isso copiará TODOS os metadados de qualquer fonte para";"Dadurch werden ALLE Metadaten aus jeder Quelle kopiert in";
resourcestrings;UnitLangResources_ImportMetaSel2;;;"currently *selected* %s files.";"dans les fichiers %s actuellement *sélectionnés*.";"de nu *geselecteerde* %s bestanden.";;"file %s attualmente *selezionati*.";"archivos %s actualmente *seleccionados*.";"当前*已选择* %s 个文件。";"arquivos %s atualmente *selecionados*.";"Derzeit *ausgewählte* %s Dateien.";
resourcestrings;UnitLangResources_ImportMetaSel3;;;"Only those selected files will be processed,";"Seuls les fichiers sélectionnés seront traités,";"Slechts die geselecteerde bestanden worden verwerkt,";;"Verranno elaborati solo i file selezionati,";"Sólo se procesarán los archivos seleccionados,";仅处理那些所选文件，;"Somente os arquivos selecionados serão processados,";"Nur die ausgewählten Dateien werden verarbeitet,";
resourcestrings;UnitLangResources_ImportMetaSel4;;;"where source and destination filename is equal.";"lorsque les noms de fichiers source et destination sont identiques.";"waarvan de bron- en doelbestandsnaam gelijk zijn.";;"dove i nomi dei file di origine e di destinazione sono uguali.";"en los que el nombre del archivo de origen y destino sean iguales.";其中源文件名和目标文件名相同。;"onde os nomes de arquivo de origem e de destino forem iguais.";"wobei Quell- und Zieldateiname gleich sind.";
resourcestrings;UnitLangResources_ImportMetaSel5;;;"Next: Select source file.";"Suivant : Sélectionner le fichier source.";"Vervolg: Selecteer bronbestand.";;"Avanti: Seleziona il file di origine.";"Siguiente: Seleccionar archivo fuente.";下一步：选择源文件。;"Próximo: Selecionar arquivo de origem.";"Weiter: Quelldatei auswählen.";
